
0,85,22,0
1,86,34,0
2,93,34,0
3,92,13,0
4,94,12,0
5,87,12,0
6,88,12,0
7,80,10,0
8,84,10,0
9,70,11,0
10,63,11,0
11,66,11,0
12,69,11,0
13,69,11,0
14,70,10,0
0,82,13,0
1,84,13,0
2,86,13,0
3,82,13,0
4,82,13,0
5,85,13,0
6,78,12,0
7,75,12,0
8,75,12,0
9,78,12,0
10,87,12,0
11,85,13,0
12,89,12,0
13,86,12,0
14,79,13,0
15,83,13,0
16,80,13,0
17,77,12,0
18,78,10,0
0,70,11,0
1,75,13,0
2,77,13,0
3,83,13,0
4,86,32,0
5,86,13,0
6,85,13,0
7,82,13,0
8,81,13,0
9,79,13,0
10,83,13,0
11,89,46,0
12,96,38,0
13,86,13,0
14,85,11,0
15,70,11,0
16,71,11,0
17,79,13,0
18,94,12,0
19,95,13,0
20,93,12,0
21,92,13,0
22,94,13,0
23,93,12,0
24,92,12,0
25,92,12,0
26,90,12,0
27,92,13,0
28,90,12,0
29,91,13,0
30,88,13,0
31,88,12,0
32,86,12,0
33,91,13,0
34,91,13,0
35,94,13,0
36,94,12,0
37,90,12,0
38,91,13,0
39,85,12,0
40,84,12,0
41,85,12,0
42,84,12,0
43,88,13,0
44,90,13,0
45,92,13,0
46,89,12,0
47,88,13,0
48,88,13,0
49,85,13,0
50,83,12,0
51,84,12,0
52,84,12,0
53,82,13,0
54,79,12,0
55,81,13,0
56,80,13,0
57,81,12,0
58,74,12,0
59,69,11,0
60,75,13,0
61,70,11,0
0,70,11,0
1,71,11,0
2,72,26,0
3,62,11,1
4,70,26,1
5,73,11,1
6,83,12,1
7,83,12,1
8,83,11,1
9,73,13,1
10,79,13,1
11,79,13,1
12,80,13,1
13,95,13,1
14,96,12,1
15,94,13,1
16,93,12,1
17,97,14,1
18,92,13,1
19,92,12,1
20,93,12,1
21,93,13,1
22,94,12,1
23,94,13,1
24,94,12,1
25,94,12,1
26,94,12,1
27,95,12,1
28,94,13,1
29,90,12,1
30,91,12,1
31,91,12,1
32,89,12,1
33,87,12,1
34,91,13,1
35,70,11,1
36,68,10,1
37,69,10,1
38,75,28,1
39,83,30,1
40,89,13,1
41,86,12,1
42,88,12,1
43,89,13,1
44,92,13,1
